"Reporting_Region","Start_Date","End_Date","UPC","GRID","ISRC","Custom_ID_1","Custom_ID_2","Custom_ID_3","Custom_ID_4","Google_ID","Artist","Product_Title","Container_Title","Content_Provider","Label","Consumer_Country","Device_Type","Product_Type","Interaction_Type","Count","Total_Plays","Partner_Revenue_Paid","Partner_Revenue_Currency","EUR_Amount"
"ZA","8/1/2018","8/31/2018","5054960182028","","QZ2GW1600363","","","","","","Skales","Temper","Temper","Notjustok Distribution LLC","Baseline Music","ZA","WEB","TRACK","PLAY","27","27","1.5331940369161","ZAR","0.089287087933846"
"ZA","8/1/2018","8/31/2018","5054960182028","","QZ2GW1600363","","","","","","Skales","Temper","Temper","Notjustok Distribution LLC","Baseline Music","ZA","MOBILE","TRACK","PLAY","325","325","18.455113407324","ZAR","1.0747519843889"
"US","8/1/2018","8/31/2018","5054960464995","","QZ2GW1800281","","","","","","B Red, Duncan Mighty","Uju (Remix)","Uju (Remix)","Notjustok Distribution LLC","HKN Music","US","MOBILE","TRACK","PLAY","11","11","0.080334934988836","USD","0.068774737843942"
"UA","8/1/2018","8/31/2018","5054960175815","","QZ2GW1600351","","","","","","Oritse Femi, Reekado Banks","Mr. Gomina","Corporate Miscreant","Notjustok Distribution LLC","MSN Gang/Arogunmenite Sounds","UA","MOBILE","TRACK","PLAY","1","1","0.031522116982434","UAH","0.00095597124172628"
"ZA","8/1/2018","8/31/2018","5054960631755","","QZ2GW1800118","","","","","","Mayorkun","Bobo","Bobo","Notjustok Distribution LLC","Davido Music Worldwide","ZA","WEB","TRACK","PLAY","62","62","3.5206677884741","ZAR","0.20502960932958"
"ZA","8/1/2018","8/31/2018","5054960631755","","QZ2GW1800118","","","","","","Mayorkun","Bobo","Bobo","Notjustok Distribution LLC","Davido Music Worldwide","ZA","MOBILE","TRACK","PLAY","461","461","26.177868556235","ZAR","1.5244943532409"
"US","8/1/2018","8/31/2018","5054960796546","","QZ2GW1800254","","","","","","Skales, Neza","Gbe","Mr Love","Notjustok Distribution LLC","Baseline Music","US","WEB","TRACK","PLAY","3","3","0.021909527724228","USD","0.018756746684712"
"US","8/1/2018","8/31/2018","5054960796546","","QZ2GW1800254","","","","","","Skales, Neza","Gbe","Mr Love","Notjustok Distribution LLC","Baseline Music","US","MOBILE","TRACK","PLAY","51","51","0.37246197131187","USD","0.31886469364009"
"US","8/1/2018","8/31/2018","5054960159259","","QZ2GW1600324","","","","","","Dammy Krane, Shatta Wale, Davido","Gbetiti","Gbetiti","Notjustok Distribution LLC","Usual Suspekt","US","WEB","TRACK","PLAY","5","5","0.03651587954038","USD","0.031261244474519"
"US","8/1/2018","8/31/2018","5054960159259","","QZ2GW1600324","","","","","","Dammy Krane, Shatta Wale, Davido","Gbetiti","Gbetiti","Notjustok Distribution LLC","Usual Suspekt","US","MOBILE","TRACK","PLAY","37","37","0.27021750859881","USD","0.23133320911144"
"SE","8/1/2018","8/31/2018","5054960170568","","QZ2GW1600336","","","","","","Mr Eazi, Mayorkun","Love You Tire","Love You Tire","Notjustok Distribution LLC","Davido Music Worldwide","SE","MOBILE","TRACK","PLAY","4","4","0.40171714583254","SEK","0.037767437465446"
"ZA","8/1/2018","8/31/2018","5054960323094","","QZ2GW1700116","","","","","","Skales","Booty Language","The Never Say Never Guy","Notjustok Distribution LLC","Baseline Music","ZA","MOBILE","TRACK","PLAY","6","6","0.34070978598136","ZAR","0.01984157509641"
"US","8/1/2018","8/31/2018","5054960323094","","QZ2GW1700129","","","","","","Fifi Cooper, Egar Boi, Skales","That Shhh","The Never Say Never Guy","Notjustok Distribution LLC","Baseline Music","US","WEB","TRACK","PLAY","7","7","0.051122231356532","USD","0.043765742264327"
"US","8/1/2018","8/31/2018","5054960323094","","QZ2GW1700129","","","","","","Fifi Cooper, Egar Boi, Skales","That Shhh","The Never Say Never Guy","Notjustok Distribution LLC","Baseline Music","US","MOBILE","TRACK","PLAY","26","26","0.18988257360998","USD","0.1625584712675"
